Test Number,Test Start Time,Test Duration,Number of Vehicles,Horizontal Collision Distance,Vertical Collision Distance,Drone1,Drone2,Collision Time
2,21-Oct-2024 23:38:02,300.000000,9,5.000000,1.000000,3,8,69.000000
2,21-Oct-2024 23:38:02,300.000000,9,5.000000,1.000000,3,8,70.000000
2,21-Oct-2024 23:38:02,300.000000,9,5.000000,1.000000,3,8,71.000000
2,21-Oct-2024 23:38:02,300.000000,9,5.000000,1.000000,3,8,72.000000
2,21-Oct-2024 23:38:02,300.000000,9,5.000000,1.000000,3,8,73.000000
2,21-Oct-2024 23:38:02,300.000000,9,5.000000,1.000000,3,8,74.000000
2,21-Oct-2024 23:38:02,300.000000,9,5.000000,1.000000,3,8,75.000000
2,21-Oct-2024 23:38:02,300.000000,9,5.000000,1.000000,3,8,76.000000
2,21-Oct-2024 23:38:02,300.000000,9,5.000000,1.000000,3,8,77.000000
2,21-Oct-2024 23:38:02,300.000000,9,5.000000,1.000000,3,8,78.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,199.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,200.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,201.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,202.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,203.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,204.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,205.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,206.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,207.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,208.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,209.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,210.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,211.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,212.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,213.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,214.000000
4,22-Oct-2024 02:05:48,300.000000,8,5.000000,1.000000,4,7,215.000000
9,22-Oct-2024 06:07:58,300.000000,7,5.000000,1.000000,1,5,133.000000
9,22-Oct-2024 06:07:58,300.000000,7,5.000000,1.000000,1,5,134.000000
9,22-Oct-2024 06:07:58,300.000000,7,5.000000,1.000000,1,5,135.000000
9,22-Oct-2024 06:07:58,300.000000,7,5.000000,1.000000,1,5,136.000000
9,22-Oct-2024 06:07:58,300.000000,7,5.000000,1.000000,1,5,137.000000
9,22-Oct-2024 06:07:58,300.000000,7,5.000000,1.000000,1,5,138.000000
9,22-Oct-2024 06:07:58,300.000000,7,5.000000,1.000000,1,5,139.000000
9,22-Oct-2024 06:07:58,300.000000,7,5.000000,1.000000,1,5,140.000000
9,22-Oct-2024 06:07:58,300.000000,7,5.000000,1.000000,1,5,141.000000
